Muetsra XRF,Año,Lote,Investigador,Fecha,Operación,Unidad,Material,Cantidad,Peso (gr),Artefacto,Notas Lab.,Num de Caja,Descripcion,Muetsra XRF,Muestra,Mn,Fe,Zn,Ga,Th,Rb,Sr,Y,Zr,Nb,Rh,Mn(log10),Fe(log10),Zn(log10),Ga(log10),Th(log10),Rb(log10),Sr(log10),Y(log10),Zr(log10),Nb(log10)
PATT20,2014,357,,,18,L21,Basalto,1,,Alisador,Para analisis geoquimico,2,Alisador con agarradera,PATT20,Patt20,757.54,41110.56,61.55,15.22,3.83,43.51,336.46,21.73,136.46,7.14,,2.879,4.614,1.789,1.182,0.583,1.639,2.527,1.337,2.135,0.853
PATT21,2014,300,,,18,SE,Basalto,1,,Laja,Para analisis geoquimico,1,Fragmento en forma de bloque tipo laja/no andesita,PATT21,Patt21,480.50,28815.98,53.65,17.42,5.90,24.27,820.82,17.34,133.08,7.16,,2.682,4.460,1.730,1.241,0.771,1.385,2.914,1.239,2.124,0.855
PATT22,2014,300,,,18,SE,Basalto,1,,Lasca,Para analisis geoquimico,1,Fragmento de artefacto semi redondo,PATT22,Patt22,351.54,31489.40,85.46,17.16,9.74,113.78,226.08,32.17,165.61,11.31,,2.546,4.498,1.932,1.235,0.989,2.056,2.354,1.507,2.219,1.054
PATT23,2014,323,,,18,N21,Basalto,1,,Mano de mortero,Para analisis geoquimico,1,Mano de mortero completo,PATT23,Patt23,651.84,37150.43,56.84,18.67,4.29,36.04,501.05,21.77,170.01,9.10,,2.814,4.570,1.755,1.271,0.632,1.557,2.700,1.338,2.230,0.959
PATT24,2014,680,,,18,I23,Basalto,1,,Pulidor,Para analisis geoquimico,4,Pulidor,PATT24,Patt24,620.63,31300.35,49.23,19.72,8.49,26.85,856.32,15.90,135.63,6.71,,2.793,4.496,1.692,1.295,0.929,1.429,2.933,1.201,2.132,0.826
PATT25,2014,461,,,18,J24,Basalto,1,,Fragmento en forma de bloque,Para analisis geoquimico,3,Fragmento de metate de superficie plana,PATT25,Patt25,494.87,27735.70,69.58,20.26,7.84,28.00,848.04,17.79,145.36,5.80,,2.694,4.443,1.842,1.307,0.894,1.447,2.928,1.250,2.162,0.764
PATT26,2014,420,,,18,J21/El.22,Basalto,1,,Metate-fragmento de metate,Para analisis geoquimico,3,metate-fragmento de metate,PATT26,Patt26,432.57,23309.20,43.26,17.71,5.52,23.41,819.70,17.25,132.99,6.47,,2.636,4.368,1.636,1.248,0.742,1.369,2.914,1.237,2.124,0.811
PATT27,2014,420,,,18,J21/El.22,Basalto,1,,Fragmento de mano,Para analisis geoquimico,3,Posible fragmento de mano de metate,PATT27,Patt27,872.94,51296.17,66.68,16.95,3.15,20.51,378.44,24.54,184.72,10.46,,2.941,4.710,1.824,1.229,0.498,1.312,2.578,1.390,2.267,1.019
PATT28,2014,473,,,18,N25,Andesita,1,,Raspador/azada,Para analisis geoquimico,3,Raspador/azada de tamaño mediano,PATT28,Patt28,788.60,41770.73,70.97,22.52,6.47,48.43,318.26,17.72,248.44,10.06,,2.897,4.621,1.851,1.352,0.811,1.685,2.503,1.248,2.395,1.003
PATT29,2014,581,,,18,I21,Basalto,1,,Pulidor,Para analisis geoquimico,3,Pulidor o percutor con restos de pintura roja,PATT29,Patt29,783.13,43250.02,75.19,19.69,2.79,34.31,376.60,42.68,202.41,13.95,,2.894,4.636,1.876,1.294,0.446,1.535,2.576,1.630,2.306,1.145
PATT30,2014,452,,,18,L25,Basalto,1,,Laja,Para analisis geoquimico,3,Laja fragmentada con recubrimiento de pintura roja,PATT30,Patt30,559.82,31521.64,50.69,16.37,6.60,50.07,350.14,23.61,188.30,8.64,,2.748,4.499,1.705,1.214,0.820,1.700,2.544,1.373,2.275,0.937
PATT31,2014,543,,,18,L25,Basalto,1,,Mano de metate,Para analisis geoquimico,3,Mano de metate,PATT31,Patt31,682.98,30682.94,60.02,22.52,8.30,76.68,276.92,17.23,117.85,7.54,,2.834,4.487,1.778,1.353,0.919,1.885,2.442,1.236,2.071,0.877
PATT32,2014,413,,,18,M23/El.21,Basalto Vesicular/Tezontle,1,,Pulidor,Para analisis geoquimico,3,Pulidor de tezontle sin agarradera,PATT32,Patt32,954.71,46736.72,65.77,16.56,2.01,19.50,368.07,24.74,168.14,9.25,,2.980,4.670,1.818,1.219,0.303,1.290,2.566,1.393,2.226,0.966
PATT33,2014,413,,,18,M23/El.21,Basalto Vesicular,1,,Metate-fragmento de metate,Para analisis geoquimico,3,metate-fragmento de metate,PATT33,Patt33,797.36,33308.42,58.67,14.52,5.60,34.91,367.61,18.42,135.44,12.33,,2.902,4.523,1.768,1.162,0.748,1.543,2.565,1.265,2.132,1.091
PATT34,2014,368,,,18,K21/EL.17,Basalto,2,,Metate completo,Para analisis geoquimico,2,Metate completo con tres soportes,PATT34 Y PATT35,Patt34,627.50,42601.75,88.11,21.52,9.23,33.88,1522.72,17.33,189.88,11.37,,2.798,4.629,1.945,1.333,0.965,1.530,3.183,1.239,2.278,1.056
PATT35,2014,368,,,18,K21/EL.17,Basalto,2,,Metate completo,Para analisis geoquimico,2,Metate completo con tres soportes,PATT34 Y PATT35,Patt35,2828.60,39811.64,91.04,21.52,12.59,28.32,1439.50,19.15,182.75,13.33,,3.452,4.600,1.959,1.333,1.100,1.452,3.158,1.282,2.262,1.125
PATT36-POSIBLE BASALTO,2014,352,,,18,K23,Basalto,1,,Borde,Para analisis geoquimico,2,Posible borde de algun contenedor de basalto/cerámica,PATT36-POSIBLE BASALTO,Patt36,795.45,30003.94,55.24,17.68,6.90,74.92,302.88,14.52,140.61,6.10,,2.901,4.477,1.742,1.247,0.839,1.875,2.481,1.162,2.148,0.786
PATT37,2013,57,,,17,J22,Basalto,1,,Esquina,Para analisis geoquimico,1,Fragmento en forma de esquina,PATT37,Patt37,624.02,30855.32,60.94,18.17,6.69,28.82,814.90,24.03,147.21,7.48,,2.795,4.489,1.785,1.259,0.826,1.460,2.911,1.381,2.168,0.874
PATT38,2013,63,,,17,J16,Basalto Vesicular/Tezontle,1,,Fragmento grande con pintura,Para analisis geoquimico,1,Posible material constructivo con restos de pintura roja ,PATT38,Patt38,890.60,48204.07,97.73,20.99,6.43,20.40,413.61,20.13,135.18,6.58,,2.950,4.683,1.990,1.322,0.808,1.310,2.617,1.304,2.131,0.819
PATT39,2013,66,,,17,H9,Basalto,1,,Mano de metate con extremo colgante,Para analisis geoquimico,1,Fragmento de mano de metate con extremo colgante,PATT39,Patt39,723.01,44115.91,82.56,20.41,5.18,17.78,647.82,21.66,130.02,2.57,,2.859,4.645,1.917,1.310,0.714,1.250,2.811,1.336,2.114,0.410
PATT40,2013,9,,,17,K21,Basalto,1,,Fragmento de angulos rectos,Para analisis geoquimico,1,Fragmento de grano fino con angulos rectos,PATT40,Patt40,301.01,25925.44,69.69,21.59,5.34,78.59,311.00,24.55,152.77,7.31,,2.479,4.414,1.843,1.334,0.727,1.895,2.493,1.390,2.184,0.864
PATT41,2013,147,,,17,J19S,Basalto,1,,Metate-fragmento de metate,Para analisis geoquimico,2,Fragmento grande de metate,PATT41,Patt41,831.22,46790.99,78.76,17.93,5.53,18.71,419.29,21.08,123.16,5.74,,2.920,4.670,1.896,1.254,0.743,1.272,2.623,1.324,2.090,0.759
PATT42,2013,48,,,17,I22,Basalto,1,,Metate-fragmento de metate,Para analisis geoquimico,1,Fragmento de metate de superficie plana,PATT42,Patt42,386.37,29073.84,78.00,14.17,4.24,58.09,348.59,23.36,251.52,11.20,,2.587,4.464,1.892,1.151,0.627,1.764,2.542,1.369,2.401,1.049
PATT43,2013,156,,,17,I21,Basalto,1,,Mano de metate/mortero,Para analisis geoquimico,2,"Fragmento de mano de metate, o mano de mortero más completo",PATT43,Patt43,800.72,41633.47,61.63,21.75,2.44,24.66,430.34,22.04,125.47,7.00,,2.903,4.619,1.790,1.337,0.388,1.392,2.634,1.343,2.099,0.845
PATT44,2013,130,,,17,J21,Basalto,1,,Percutor?,Para analisis geoquimico,2,"Posible percutor de basalto de grano muy fino, y alisado. Muestra retirada de su bolsa",PATT44,Patt44,774.97,67438.55,118.49,17.83,2.12,20.92,299.35,21.56,185.13,12.98,,2.889,4.829,2.074,1.251,0.326,1.321,2.476,1.334,2.267,1.113
PATT45,2013,55,,,17,K8,Basalto Vesicular,1,,Esfera,Para analisis geoquimico,1,Esfera completa,PATT45,Patt45,836.80,44567.86,60.48,20.42,7.47,44.04,354.37,23.39,141.55,8.37,,2.923,4.649,1.782,1.310,0.873,1.644,2.549,1.369,2.151,0.923
PATT46,2013,55,,,17,K8,Basalto Vesicular,1,,Metate-fragmento de metate,Para analisis geoquimico,1,Esquina de metate fragmento,PATT46,Patt46,690.22,38971.63,79.02,17.24,6.28,37.64,786.83,20.07,135.50,6.10,,2.839,4.591,1.898,1.236,0.798,1.576,2.896,1.302,2.132,0.785
PATT47,2013,6,,,17,J21,Basalto,1,,Laja,Para analisis geoquimico,1,Fragmento de laja con pintura roja ,PATT47,Patt47,1273.97,26801.19,62.85,16.68,8.16,69.50,312.25,30.37,151.01,9.78,,3.105,4.428,1.798,1.222,0.912,1.842,2.495,1.482,2.179,0.990
PATT48,2013,6,,,17,J21,Basalto,1,,Mano de metate,Para analisis geoquimico,1,Fragmento de mano de metate,PATT48,Patt48,873.81,43642.82,77.68,20.19,10.64,35.84,777.44,22.27,153.79,3.79,,2.941,4.640,1.890,1.305,1.027,1.554,2.891,1.348,2.187,0.579
PATT49,2013,18,,,17,K20,Basalto,1,,Fragmento de basalto posible metate,Para analisis geoquimico,1,"Bloque de basalto de posible parte central de metate, grano muy fino",PATT49,Patt49,696.56,33288.50,57.80,17.44,4.35,22.68,897.02,20.01,136.55,5.44,,2.843,4.522,1.762,1.242,0.639,1.356,2.953,1.301,2.135,0.735
